9b701bd2-96dc-40d9-8c72-5c36052be1e1,wanderlust,Jean,"As the Acting Grand Master of the Knights, Jean has always been devoted to her duties and maintaining peace in Mondstadt.",5,character
ccd0d36f-f868-4288-b06b-1791f8edf8ce,,Zhongli,"Wangsheng Funeral Parlor's mysterious consultant. Handsome, elegant, and surpassingly learned. Though no one knows where Zhongli is from, he is a master of courtesy and rules. From his seat at Wangsheng Funeral Parlor, he performs all manner of rituals.",5,character
ed8cf2bd-84b4-485c-89d7-18d6b7f86f77,,Klee,"Knights of Favonius Spark Knight! Forever with a bang and a flash! —And then disappearing from the stern gaze of Acting Grand Master Jean. Sure, time in solitary confinement gives lots of time to think about new gunpowder formulas... But it'd still be better to not be in solitary in the first place.",5,character
5a36221a-38ec-4fd4-bee5-7f9b9ceb7ef5,,Traveler's Handy Sword,"A handy steel sword which contains scissors, a magnifying glass, tinder, and other useful items in its sheath.",3,weapon
f7b5e82f-d9d2-46f2-b818-0590e18c95ee,,Messenger,A basic wooden bow. It is said to have once been used as a tool for long-distance communication.,3,weapon
6858b60a-b6c2-4601-b3ce-709b72706447,,Solar Pearl,"A dull, golden pearl made of an unknown substance that harbors the light of the sun and the moon, and pulses with a warm strength.",4,weapon
f3242cb4-ed1d-4030-8380-40d0027230c9,,Mistsplitter Reforged,"A sword that blazes with a fierce violet light. The name ""Reforged"" comes from it having been broken once before.",5,weapon
91f0cd0a-63bb-4399-bf6c-76e177cb290e,wanderlust,Shinobu,The deputy leader of the Arataki Gang. She wears a unique mask and is rather stoic.,4,character
546a628e-7434-444b-84e7-e436702c7179,wanderlust,Thoma,"The Kamisato Clan's housekeeper. A well-known ""fixer"" in Inazuma.",4,character
1997f56e-d7f3-4ed8-b17e-a3582e6bc8c7,,Venti,"A bard that seems to have arrived on some unknown wind — sometimes sing songs as old as the hills, and other times sing poems fresh and new. Likes apples and lively places, but is not a fan of cheese or anything sticky. When using his Anemo power to control the wind, it often appears as feathers, as he's fond of that which appears light and breezy.",5,character
401bc41d-cf94-45d6-8134-f03aed6402ce,,Aether,"Aether used to be a world traveler with his sister, Lumine, until the day of their unfortunate encounter with the unknown goddess on Teyvat. Robbed of his powers, the surviving sibling starts his journey to find his lost sister.",5,character
6eca6572-de3c-4058-9b12-90fc50dbf236,,Windblume Ode,A bow adorned with nameless flowers that bears the earnest hopes of an equally nameless person.,4,weapon
c3f253bc-6c7a-4264-b710-d6b4a81b249b,,Mappa Mare,A nautical chart featuring nearby currents and climates that somehow found its way into Liyue via foreign traders.,4,weapon
